"name","num","time","value","nodes"
"heskia",1,0.0987251,94,65
"heskia",2,0.384863,95,209
"heskia",3,0.280208,102,123
"heskia",4,0.238438,103,62
"heskia",5,0.420481,92,129
"heskia",6,0.172013,98,88
"heskia",7,0.181658,116,179
"heskia",8,0.0980771,86,49
"heskia",9,0.143793,95,61
"heskia",10,0.233579,142,87
"heskia",11,0.713624,169,864
"heskia",12,0.295247,107,163
"heskia",13,0.141729,108,51
"heskia",14,0.180126,96,77
"heskia",15,0.209762,130,278
"heskia",16,0.158861,117,223
"heskia",17,0.174752,146,35
"heskia",18,0.23999,132,105
"heskia",19,0.216392,101,90
"heskia",20,0.235764,120,100
"heskia",21,0.163994,200,202
"heskia",22,0.165471,147,77
"heskia",23,0.236505,186,36
"heskia",24,0.323423,181,280
"heskia",25,0.342421,142,298
"heskia",26,0.221013,194,129
"heskia",27,0.248555,149,144
"heskia",28,0.16304,191,50
"heskia",29,0.31139,170,133
"heskia",30,0.113943,165,13
"heskia",31,0.237371,204,66
"heskia",32,0.231313,147,73
"heskia",33,0.198876,211,128
"heskia",34,0.228323,127,27
"heskia",35,0.312837,181,365
"heskia",36,0.30409,179,69
"heskia",37,0.209178,191,72
"heskia",38,0.278098,152,41
"heskia",39,0.388824,167,103
"heskia",40,0.570478,153,361
"heskia",41,0.493896,35,92
"heskia",42,1.3406,40,165
"heskia",43,10.9645,35,3875
"heskia",44,0.0970302,30,0
"heskia",45,22.2855,40,9134
"heskia",46,1.25812,29,103
"heskia",47,0.078999,25,0
"heskia",48,0.770501,43,106
"heskia",49,4.48338,38,1304
"heskia",50,4.33188,34,743
"heskia",51,1.22436,51,261
"heskia",52,5.38313,50,3179
"heskia",53,0.154505,52,63
"heskia",54,0.822403,33,65
"heskia",55,6.39994,38,2608
"heskia",56,0.551992,34,0
"heskia",57,0.585336,42,189
"heskia",58,0.877622,39,207
"heskia",59,6.07981,59,2836
"heskia",60,0.122065,28,0
"heskia",61,0.460124,66,50
"heskia",62,1.04779,56,84
"heskia",63,2.09606,69,688
"heskia",64,0.278489,126,20
"heskia",65,0.445,107,12
"heskia",66,0.514704,39,55
"heskia",67,0.390624,87,20
"heskia",68,12.5471,62,4010
"heskia",69,1.27073,61,177
"heskia",70,5.99661,79,2243
"heskia",71,0.55154,91,22
"heskia",72,5.21986,65,765
"heskia",73,9.19704,73,2971
"heskia",74,0.838749,57,190
"heskia",75,1.25587,65,244
"heskia",76,1.06751,70,81
"heskia",77,4.42836,71,977
"heskia",78,1.41262,58,472
"heskia",79,2.29883,46,486
"heskia",80,2.06252,76,425
"roszieg",1,1.28025,20,1863
"roszieg",2,0.456559,22,1093
"roszieg",3,0.340398,18,815
"roszieg",4,0.28767,18,576
"roszieg",5,1.62779,17,2917
"roszieg",6,1.87287,24,4541
"roszieg",7,1.29846,21,3364
"roszieg",8,1.45955,20,3226
"roszieg",9,1.72796,22,4434
"roszieg",10,0.259565,19,575
"roszieg",11,0.11404,30,241
"roszieg",12,0.942963,27,2365
"roszieg",13,0.0960529,76,189
"roszieg",14,0.151528,25,287
"roszieg",15,0.239756,26,676
"roszieg",16,0.298931,22,661
"roszieg",17,0.544749,22,787
"roszieg",18,1.75209,20,3533
"roszieg",19,0.167263,27,379
"roszieg",20,0.117586,40,242
"roszieg",21,2.0886,28,3709
"roszieg",22,1.28814,30,3271
"roszieg",23,1.11971,26,1479
"roszieg",24,1.39843,33,3306
"roszieg",25,1.3571,28,2774
"roszieg",26,1.24005,27,2181
"roszieg",27,0.308463,21,683
"roszieg",28,1.4449,28,2756
"roszieg",29,0.300982,27,680
"roszieg",30,2.88539,33,7656
"roszieg",31,2.036,31,5296
"roszieg",32,1.38841,29,2363
"roszieg",33,2.80543,32,6988
"roszieg",34,1.21989,27,1921
"roszieg",35,1.29289,27,1965
"roszieg",36,1.37181,29,1833
"roszieg",37,2.57977,27,6723
"roszieg",38,1.59221,28,2334
"roszieg",39,0.127926,21,153
"roszieg",40,1.87756,29,3108
"roszieg",41,90.1801,10,68839
"roszieg",42,86.4361,10,76026
"roszieg",43,48.2596,10,41673
"roszieg",44,62.2096,9,52097
"roszieg",45,90.3925,12,96913
"roszieg",46,19.6676,9,21018
"roszieg",47,54.2682,10,56404
"roszieg",48,20.731,8,11852
"roszieg",49,39.7816,10,38202
"roszieg",50,12.4488,9,8739
"roszieg",51,65.4572,11,104677
"roszieg",52,12.565,10,18138
"roszieg",53,15.4117,10,19780
"roszieg",54,15.4347,10,15527
"roszieg",55,39.2637,11,43004
"roszieg",56,22.6704,13,25896
"roszieg",57,33.8271,13,44088
"roszieg",58,60.3678,11,73465
"roszieg",59,17.0597,12,15850
"roszieg",60,7.7364,9,5132
"roszieg",61,82.0693,16,91563
"roszieg",62,60.7491,13,58241
"roszieg",63,63.5095,19,79628
"roszieg",64,41.1092,16,39370
"roszieg",65,34.0361,14,12357
"roszieg",66,26.0044,17,27025
"roszieg",67,181.33,17,326014
"roszieg",68,57.4021,16,67689
"roszieg",69,39.3304,15,42874
"roszieg",70,76.623,17,94244
"roszieg",71,54.8128,15,75646
"roszieg",72,49.2557,16,54244
"roszieg",73,36.9384,16,32548
"roszieg",74,40.1697,16,47971
"roszieg",75,53.8723,16,72981
"roszieg",76,79.8452,17,102695
"roszieg",77,21.1076,13,19313
"roszieg",78,26.8851,14,13344
"roszieg",79,55.7415,14,67946
"roszieg",80,23.0005,14,16255
